"from","to","total_amount","day","month","year"
germanaure,bittrex,131.9190,4,7,2016
nphacker,bittrex,0.2100,4,7,2016
peachesdoe97,bittrex,335.1910,4,7,2016
forrestwillie,openledger,100.0000,4,7,2016
openledger,forrestwillie,100.0000,4,7,2016
thj,bittrex,100.7470,5,7,2016
soulsistashakti,blocktrades,2.0000,5,7,2016
blocktrades,open-wallet,10.0000,6,7,2016
jamie,blocktrades,1.0000,6,7,2016
cryptogee,blocktrades,1001.8730,6,7,2016
craig-grant,blocktrades,22.0680,6,7,2016
kingnuze,bittrex,5.6050,6,7,2016
alicecm,blocktrades,1.5550,7,7,2016
pharesim,bittrex,1111.0000,7,7,2016
piedpiper,bittrex,1.0000,7,7,2016
stellabelle,blocktrades,4784.0000,7,7,2016
arcaneinfo,blocktrades,1.3780,7,7,2016
bittrex,richiela,1.0000,7,7,2016
donaa,blocktrades,67.0000,7,7,2016
rahmat,blocktrades,54.0000,7,7,2016
richiela,bittrex,1.0000,7,7,2016
satryaepul,blocktrades,3.5900,7,7,2016
scrawl,bittrex,150.0000,7,7,2016
cryptoctopus,blocktrades,1000.0000,7,7,2016
mctiller,blocktrades,150.0000,7,7,2016
arisromansyah,blocktrades,16.1280,7,7,2016
azaan,blocktrades,17.4880,7,7,2016
bittrex,grittenald,1.0000,7,7,2016
evan-koser,blocktrades,300.0000,7,7,2016
fyrstikken,bittrex,93.4040,7,7,2016
grittenald,bittrex,1.0100,7,7,2016
rendra-permana,blocktrades,17.4000,7,7,2016
rok-sivante,blocktrades,516.3670,7,7,2016
gie,blocktrades,17.2060,8,7,2016
goy,blocktrades,18.0000,8,7,2016
rodolfodth,blocktrades,5.8930,8,7,2016
andri-ghani,blocktrades,12.7850,8,7,2016
nina-nindra,blocktrades,2.8800,8,7,2016
the-alien,blocktrades,200.0000,8,7,2016
ucing,blocktrades,8.0410,8,7,2016
azaan,blocktrades,0.3860,8,7,2016
hossary,blocktrades,72.0000,8,7,2016
jonnyrevolution,blocktrades,14.8640,8,7,2016
jupiter00000,blocktrades,175.0000,8,7,2016
lauralemons,blocktrades,67.0000,8,7,2016
paloma-guerrero,blocktrades,164.2270,8,7,2016
soulsistashakti,blocktrades,50.0000,8,7,2016
stino-san,blocktrades,1.0000,9,7,2016
testz,bittrex,600.0000,9,7,2016
abduhalem,blocktrades,7.7000,9,7,2016
bittrex,bacchist,0.2700,9,7,2016
dedriss,bittrex,6.7480,9,7,2016
nineyards,blocktrades,60.0000,9,7,2016
noganoo,bittrex,19.6870,9,7,2016
oaldamster,blocktrades,173.3080,9,7,2016
pnc,blocktrades,187.8120,9,7,2016
spaninv,bittrex,1.2540,9,7,2016
vitha,blocktrades,30.9700,9,7,2016
bittrex,onighost,293.8700,9,7,2016
cryptogee,blocktrades,500.0000,9,7,2016
grumpymutt,blocktrades,1.0000,9,7,2016
joseph,bittrex,1417.3600,9,7,2016
lysaa,blocktrades,0.0260,9,7,2016
onighost,bittrex,289.2220,9,7,2016
pfunk,bittrex,200.0000,9,7,2016
soulsistashakti,blocktrades,120.0000,9,7,2016
stino-san,bittrex,1.0000,9,7,2016
anwenbaumeister,blocktrades,10.0000,9,7,2016
business,blocktrades,517.9990,9,7,2016
hendrarudy,blocktrades,12.0000,9,7,2016
kaylinart,blocktrades,650.0000,9,7,2016
lauralemons,blocktrades,47.0000,9,7,2016
ottulo,blocktrades,100.0000,9,7,2016
smooth,bittrex,400.0000,9,7,2016
the-alien,blocktrades,300.0000,9,7,2016
bella-chutezz,bittrex,5.6610,10,7,2016
bittrex,spaninv,0.9900,10,7,2016
bittrex,thj,100.7300,10,7,2016
clement,bittrex,232.9500,10,7,2016
rossco99,bittrex,10.0000,10,7,2016
spaninv,bittrex,18.6000,10,7,2016
alexgr,bittrex,10.8380,10,7,2016
bittrex,johnerfx,5.2400,10,7,2016
bittrex,seaside-owt,135.5800,10,7,2016
chaindynamics,bittrex,578.2660,10,7,2016
garycovington,blocktrades,6.0000,10,7,2016
hendrarudy,blocktrades,9.0000,10,7,2016
infovore,bittrex,10.0000,10,7,2016
kaylinart,blocktrades,100.0000,10,7,2016
proctologic,bittrex,30.4550,10,7,2016
technology,bittrex,30.6590,10,7,2016
bittrex,scrawl,318.0300,10,7,2016
blackjincrypto,bittrex,269.2910,10,7,2016
grumpymutt,blocktrades,2.0370,10,7,2016
justtryme90,bittrex,13.9970,10,7,2016
thirdstryker1,bittrex,5.0000,10,7,2016
tytyd,bittrex,13.0000,10,7,2016
ucing,blocktrades,3.8000,10,7,2016
ultralord,bittrex,204.0980,10,7,2016
arcaneinfo,blocktrades,5.6560,10,7,2016
bitcoinmeister,blocktrades,78.1280,10,7,2016
bittrex,onighost,0.9900,10,7,2016
bittrex,pfunk,99.9900,10,7,2016
bittrex,pharesim,1105.2900,10,7,2016
lauralemons,blocktrades,174.0000,10,7,2016
lehard,bittrex,69.4350,10,7,2016
penambang,bittrex,6.9750,10,7,2016
pfunk,bittrex,50.0000,10,7,2016
stealthtrader,blocktrades,5.0000,10,7,2016
the-alien,blocktrades,10.0000,10,7,2016
bittrex,shutkin70,0.6900,11,7,2016
bittrex,zer0sum,69.0000,11,7,2016
chitty,bittrex,341.0000,11,7,2016
churdtzu,bittrex,200.0000,11,7,2016
shutkin70,bittrex,0.7090,11,7,2016
zer0sum,bittrex,10.0000,11,7,2016
bittrex,mauricemikkers,1549.7100,11,7,2016
bonapartist,bittrex,502.0000,11,7,2016
hisnameisolllie,bittrex,282.4430,11,7,2016
khinanty,bittrex,61.7710,11,7,2016
mauricemikkers,bittrex,1549.7370,11,7,2016
mjoriginal,blocktrades,4.7490,11,7,2016
bittrex,java1959,13.5900,11,7,2016
blocktalk,bittrex,500.0000,11,7,2016
blocktrades,bittrex,3000.0000,11,7,2016
cryptogirly92,blocktrades,178.0000,11,7,2016
dan-atstarlite,blocktrades,72.0000,11,7,2016
danbitc,bittrex,0.6460,11,7,2016
falzxx,bittrex,5.0000,11,7,2016
kingnuze,bittrex,2.1480,11,7,2016
riscadox,bittrex,19.2900,11,7,2016
simba,bittrex,29.5420,11,7,2016
slomaster,blocktrades,2.1780,11,7,2016
spaninv,bittrex,0.9900,11,7,2016
the-alien,blocktrades,250.0000,11,7,2016
alexc,bittrex,35.7900,11,7,2016
bittrex,alexc,35.7900,11,7,2016
skriptroid,bittrex,14.7900,11,7,2016
tie-warutho,bittrex,0.2340,11,7,2016
arcaneinfo,blocktrades,9.0960,12,7,2016
bittrex,java1959,324.3800,12,7,2016
bittrex,lukestokes,139.4600,12,7,2016
bittrex,smooth,1300.0000,12,7,2016
creativeeditors,bittrex,8.4740,12,7,2016
cryptogee,bittrex,650.0000,12,7,2016
gie,bittrex,23.1580,12,7,2016
ibnu,bittrex,19.0000,12,7,2016
killerstorm,bittrex,100.0000,12,7,2016
kushed,bittrex,25.2800,12,7,2016
masteryoda,bittrex,522.3360,12,7,2016
mrwang,blocktrades,548.2430,12,7,2016
ozmaster,bittrex,72.4050,12,7,2016
raffern,bittrex,9.6270,12,7,2016
roelandp,bittrex,7.3150,12,7,2016
shutkin70,bittrex,382.0000,12,7,2016
soulsistashakti,blocktrades,90.0000,12,7,2016
the-alien,bittrex,18.0000,12,7,2016
zeus,bittrex,12.3300,12,7,2016
zeus-c,bittrex,1.0530,12,7,2016
abdi,blocktrades,48.0000,12,7,2016
arisromansyah,bittrex,21.4640,12,7,2016
azaan,blocktrades,0.0190,12,7,2016
bacchist,bittrex,67.2550,12,7,2016
bittrex,hisnameisolllie,281.4200,12,7,2016
bittrex,scrawl,3467.4100,12,7,2016
bleepcoin,bittrex,670.0000,12,7,2016
cryptoscope,bittrex,40.8840,12,7,2016
splashneedle,blocktrades,5.0000,12,7,2016
adianthony11,bittrex,11.0000,12,7,2016
arwani-wawan,bittrex,33.7470,12,7,2016
bittrex,zer0sum,175.0000,12,7,2016
chitty,bittrex,76.0000,12,7,2016
derekareith,bittrex,0.0010,12,7,2016
dewiaries,bittrex,11.2000,12,7,2016
dollarcome,bittrex,4.0090,12,7,2016
hestyliyanty,bittrex,32.5050,12,7,2016
juansgalt,blocktrades,31.1280,12,7,2016
lehard,bittrex,17.9100,12,7,2016
nobreku,bittrex,16.0410,12,7,2016
r4fken,blocktrades,250.0150,12,7,2016
riscadox,bittrex,30.5740,12,7,2016
stealthtrader,blocktrades,18.0000,12,7,2016
taufikriadi,bittrex,2.4460,12,7,2016
bfm-002aec43a3,bittrex,369.0000,12,7,2016
bittrex,mixa,0.3800,12,7,2016
bittrex,shawn-brewer,874.9800,12,7,2016
hakise,blocktrades,213.0000,12,7,2016
steemingnow,bittrex,21.0000,12,7,2016
wisehammer,bittrex,0.1830,12,7,2016
zeus-b,bittrex,4.6240,12,7,2016
arcaneinfo,blocktrades,78.0230,13,7,2016
bittrex,enki,499.9900,13,7,2016
bittrex,lukestokes,4.0600,13,7,2016
bittrex,murat,1472.1600,13,7,2016
blocktrades,lauralemons,6.0000,13,7,2016
blocktrades,satanic.stoner,46.0000,13,7,2016
freedom,bittrex,1087.8420,13,7,2016
lauralemons,blocktrades,123.0000,13,7,2016
lontong,bittrex,2.5000,13,7,2016
masteryoda,bittrex,126.3440,13,7,2016
max-infeld,openledger,50.0000,13,7,2016
noganoo,bittrex,226.6500,13,7,2016
patrice,bittrex,66.0090,13,7,2016
phanie90,bittrex,10.1150,13,7,2016
rawlzsec,bittrex,32.1560,13,7,2016
satanic.stoner,blocktrades,46.0000,13,7,2016
silvano22,blocktrades,3.0090,13,7,2016
stealthtrader,blocktrades,8.0000,13,7,2016
trung81,blocktrades,1.0000,13,7,2016
tuck-fheman,blocktrades,200.0000,13,7,2016
bittrex,eythor,250.0900,13,7,2016
bittrex,forrestwillie,105.8200,13,7,2016
bittrex,scrawl,939.5700,13,7,2016
blocktalk,bittrex,462.8790,13,7,2016
blocktrades,johan-nygren,4.7760,13,7,2016
forrestwillie,bittrex,108.0550,13,7,2016
ibnu,bittrex,53.0000,13,7,2016
johan-nygren,blocktrades,19.5520,13,7,2016
scrawl,bittrex,469.7900,13,7,2016
simba,bittrex,111.3190,13,7,2016
bittrex,skriptroid,62.0900,13,7,2016
bittrex,ultralord,19.9900,13,7,2016
chitty,bittrex,949.6500,13,7,2016
kateadventure,bittrex,45.8900,13,7,2016
les-peters,blocktrades,90.0000,13,7,2016
nvtnvt,blocktrades,1003.3880,13,7,2016
shawn-brewer,bittrex,499.6910,13,7,2016
shutkin70,bittrex,270.0000,13,7,2016
zerohero,bittrex,90.0000,13,7,2016
arwani-wawan,bittrex,19.8400,13,7,2016
b0y2k,bittrex,819.0060,13,7,2016
bittrex,zer0sum,499.5000,13,7,2016
bonapartist,bittrex,500.0000,13,7,2016
clement,bittrex,324.8800,13,7,2016
cryptoctopus,bittrex,1.0000,13,7,2016
joelkatz,bittrex,134.8310,13,7,2016
mughat,bittrex,5.0000,13,7,2016
paloma-guerrero,blocktrades,1.0400,13,7,2016
will-zewe,bittrex,2.0000,13,7,2016
bittrex,enki,1033.8200,14,7,2016
bittrex,gavvet,53.7000,14,7,2016
chitty,bittrex,1002.0140,14,7,2016
yefet,bittrex,154.8180,14,7,2016
cryptoctopus,bittrex,5493.0770,14,7,2016
cryptoctopus,blocktrades,2150.0000,14,7,2016
derekareith,bittrex,28.7900,14,7,2016
fyrstikken,bittrex,275.6640,14,7,2016
pamplemouse,blocktrades,2924.0000,14,7,2016
simba,bittrex,26.0730,14,7,2016
steemingnow,bittrex,700.0000,14,7,2016
fiatluxx,bittrex,2.0000,14,7,2016
senseiteekay,bittrex,105.0000,14,7,2016
bittrex,tuck-fheman,82.8700,14,7,2016
bittrex,zer0sum,236.0000,14,7,2016
steemtest,bittrex,82.7560,14,7,2016
valnir,blocktrades,1058.0000,14,7,2016
yassinebentour,blocktrades,1.6090,14,7,2016
au1nethyb1,bittrex,4057.2500,15,7,2016
eythor,bittrex,100.0000,15,7,2016
forrestwillie,blocktrades,90.0000,15,7,2016
onthewayout,blocktrades,97.6870,15,7,2016
sakr,bittrex,844.4890,15,7,2016
syafniati,bittrex,5.7130,15,7,2016
teego,openledger,11.4830,15,7,2016
tyfoster,blocktrades,13.7360,15,7,2016
yefet,bittrex,100.0000,15,7,2016
bittrex,cryptoctopus,5494.0500,15,7,2016
bittrex,hopeless,344.9800,15,7,2016
blockcore,bittrex,0.1000,15,7,2016
derekareith,bittrex,3.8790,15,7,2016
fyrstikken,bittrex,573.8020,15,7,2016
stealthtrader,blocktrades,37.0000,15,7,2016
annakin,bittrex,262.2170,15,7,2016
arcaneinfo,bittrex,6.0000,15,7,2016
bittrex,fiatluxx,0.0900,15,7,2016
bittrex,gregory-f,39.9800,15,7,2016
bittrex,murat,149.9900,15,7,2016
fiatluxx,bittrex,228.0000,15,7,2016
itzel-becerra,bittrex,20.0000,15,7,2016
joseph,bittrex,135.2440,15,7,2016
jupiter00000,blocktrades,19.8430,15,7,2016
lauralemons,blocktrades,60.0000,15,7,2016
satanic.stoner,blocktrades,57.9890,15,7,2016
bitcoinmeister,blocktrades,129.0670,15,7,2016
dbaron723,bittrex,969.7900,15,7,2016
juanitalee,bittrex,320.4810,15,7,2016
macrochip,bittrex,219.7330,15,7,2016
msevoe,blocktrades,27.5900,15,7,2016
