Date,Average
1/12/2019,0.7400115
1/11/2019,0.733018
1/10/2019,0.7888765
1/9/2019,0.8374215
1/8/2019,0.8178785
1/7/2019,0.7956285
1/6/2019,0.771393
1/5/2019,0.755449
1/4/2019,0.755892
1/3/2019,0.752216
1/2/2019,0.745613
1/1/2019,0.7141115
12/31/2018,0.711009
12/30/2018,0.723636
12/29/2018,0.7124675
12/28/2018,0.6837115
12/27/2018,0.6808845
12/26/2018,0.6883115
12/25/2018,0.711052
12/24/2018,0.728824
12/23/2018,0.721477
12/22/2018,0.6785575
12/21/2018,0.651196
12/20/2018,0.635381
12/19/2018,0.5902775
12/18/2018,0.571065
12/17/2018,0.5459715
12/16/2018,0.545013
12/15/2018,0.569154
12/14/2018,0.5523505
12/13/2018,0.584458
12/12/2018,0.6050365
12/11/2018,0.6059085
12/10/2018,0.614373
12/9/2018,0.619754
12/8/2018,0.6051425
12/7/2018,0.6236985
12/6/2018,0.695432
12/5/2018,0.769791
12/4/2018,0.800264
12/3/2018,0.817943
12/2/2018,0.8330405
12/1/2018,0.8300095
11/30/2018,0.831538
11/29/2018,0.842311
11/28/2018,0.8134395
11/27/2018,0.792326
11/26/2018,0.82062
11/25/2018,0.841011
11/24/2018,0.8657905
11/23/2018,0.852949
11/22/2018,0.848169
11/21/2018,0.836146
11/20/2018,0.868493
11/19/2018,0.938816
11/18/2018,0.962455
11/17/2018,0.955791
11/16/2018,0.9474685
11/15/2018,0.9397855
11/14/2018,0.9560885
11/13/2018,0.9764515
11/12/2018,0.974624
11/11/2018,0.9707535
11/10/2018,0.9709555
11/9/2018,0.9735665
11/8/2018,0.9824775
11/7/2018,0.984961
11/6/2018,0.973887
11/5/2018,0.9746025
11/4/2018,0.982678
11/3/2018,0.984043
11/2/2018,0.9797255
11/1/2018,0.9716425
10/31/2018,0.964613
10/30/2018,0.9568715
10/29/2018,0.9683125
10/28/2018,0.9786285
10/27/2018,0.977539
10/26/2018,0.9843425
10/25/2018,0.991165
10/24/2018,0.992925
10/23/2018,0.993484
10/22/2018,0.9988365
10/21/2018,1.005
10/20/2018,1.003991
10/19/2018,0.996046
10/18/2018,1.0120885
10/17/2018,1.035
10/16/2018,1.025
10/15/2018,1.015
10/14/2018,1.009366
10/13/2018,1
10/12/2018,1.015
10/11/2018,1.011387
10/10/2018,0.9969855
10/9/2018,0.9916435
10/8/2018,0.9820365
10/7/2018,0.978644
10/6/2018,0.974369
10/5/2018,0.977445
10/4/2018,0.979286
10/3/2018,0.988375
10/2/2018,0.996744
10/1/2018,1.005
