Date,Average
1/12/2019,0.267017
1/11/2019,0.2637515
1/10/2019,0.290956
1/9/2019,0.312534
1/8/2019,0.305274
1/7/2019,0.300012
1/6/2019,0.288993
1/5/2019,0.2813935
1/4/2019,0.281622
1/3/2019,0.2851715
1/2/2019,0.2827455
1/1/2019,0.269071
12/31/2018,0.269045
12/30/2018,0.27249
12/29/2018,0.2733015
12/28/2018,0.265068
12/27/2018,0.268583
12/26/2018,0.2820035
12/25/2018,0.2966275
12/24/2018,0.3159685
12/23/2018,0.324265
12/22/2018,0.3041865
12/21/2018,0.285782
12/20/2018,0.277344
12/19/2018,0.258958
12/18/2018,0.2456325
12/17/2018,0.2266105
12/16/2018,0.216978
12/15/2018,0.223161
12/14/2018,0.2310035
12/13/2018,0.239208
12/12/2018,0.2411855
12/11/2018,0.244803
12/10/2018,0.2554555
12/9/2018,0.2539765
12/8/2018,0.246467
12/7/2018,0.2479595
12/6/2018,0.2715315
12/5/2018,0.3072955
12/4/2018,0.3229345
12/3/2018,0.3348565
12/2/2018,0.368428
12/1/2018,0.3676395
11/30/2018,0.366216
11/29/2018,0.3790045
11/28/2018,0.342971
11/27/2018,0.3158075
11/26/2018,0.3312375
11/25/2018,0.342609
11/24/2018,0.3628125
11/23/2018,0.388169
11/22/2018,0.408231
11/21/2018,0.41532
11/20/2018,0.429476
11/19/2018,0.525269
11/18/2018,0.589303
11/17/2018,0.5869715
11/16/2018,0.5950575
11/15/2018,0.6111625
11/14/2018,0.6701395
11/13/2018,0.7278485
11/12/2018,0.740899
11/11/2018,0.754719
11/10/2018,0.76132
11/9/2018,0.769299
11/8/2018,0.7970285
11/7/2018,0.8031275
11/6/2018,0.7860315
11/5/2018,0.7881885
11/4/2018,0.7938375
11/3/2018,0.796523
11/2/2018,0.805758
11/1/2018,0.803707
10/31/2018,0.7827525
10/30/2018,0.7773965
10/29/2018,0.7808295
10/28/2018,0.779967
10/27/2018,0.78302
10/26/2018,0.796804
10/25/2018,0.8081155
10/24/2018,0.8122755
10/23/2018,0.8133365
10/22/2018,0.8172685
10/21/2018,0.823136
10/20/2018,0.8204175
10/19/2018,0.80984
10/18/2018,0.8231905
10/17/2018,0.8360415
10/16/2018,0.8340725
10/15/2018,0.8251915
10/14/2018,0.8354405
10/13/2018,0.8381965
10/12/2018,0.806911
10/11/2018,0.816841
10/10/2018,0.8551885
10/9/2018,0.872107
10/8/2018,0.8813135
10/7/2018,0.903107
10/6/2018,0.906287
10/5/2018,0.8777845
10/4/2018,0.876997
10/3/2018,0.871576
10/2/2018,0.8667725
10/1/2018,0.901011
9/30/2018,0.93162
9/29/2018,0.9378465
9/28/2018,0.9513135
9/27/2018,0.9846925
9/26/2018,0.9738875
9/25/2018,0.965565
9/24/2018,0.952413
9/23/2018,0.905521
9/22/2018,0.883645
9/21/2018,0.8538515
9/20/2018,0.8205445
9/19/2018,0.8145355
9/18/2018,0.7602705
9/17/2018,0.7339005
9/16/2018,0.7456475
9/15/2018,0.7251495
9/14/2018,0.7284715
9/13/2018,0.720063
9/12/2018,0.7105335
9/11/2018,0.7436055
9/10/2018,0.76765
9/9/2018,0.773321
9/8/2018,0.801268
9/7/2018,0.843392
9/6/2018,0.8497135
9/5/2018,0.937354
9/4/2018,1.0028
